EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
1175	10	10.0
1176	10	10.0
1177	10	10.0
1178	8	8.0
1179	8	8.0
1180	8	8.0
1181	10	10.0
1182	10	10.0
1183	10	10.0
1184	9	9.0
1185	10	10.0
1186	8	8.0
1187	8	8.0
1188	10	10.0
1189	10	10.0
1190	9	9.0
1191	8	8.0
1192	10	10.0
1193	11	11.0
1194	11	11.0
1195	8	8.0
1196	10	10.0
1197	11	11.0
1198	9	9.0
1199	9	9.0
1200	10	10.0
1201	9	9.0
1202	10	10.0
1203	8	8.0
1204	9	9.0
1205	10	10.0
1206	9	9.0
1207	10	10.0
1208	10	10.0
1209	9	9.0
1210	9	9.0
1211	9	9.0
1212	9	9.0
1213	9	9.0
1214	10	10.0
1215	9	9.0
1216	9	9.0
1217	10	10.0
1218	10	10.0
1219	9	9.0
1220	9	9.0
1221	8	8.0
1222	9	9.0
1223	8	8.0
1224	8	8.0
1225	10	10.0
1226	9	9.0
1227	11	11.0
1228	9	9.0
1229	8	8.0
1230	9	9.0
1231	8	8.0
1232	9	9.0
1233	10	10.0
1234	9	9.0
1235	8	8.0
1236	10	10.0
1237	8	8.0
1238	9	9.0
1239	9	9.0
1240	8	8.0
1241	9	9.0
1242	9	9.0
1243	10	10.0
1244	9	9.0
1245	8	8.0
1246	9	9.0
1247	8	8.0
1248	11	11.0
1249	9	9.0
1250	9	9.0
1251	8	8.0
1252	9	9.0
1253	9	9.0
1254	9	9.0
1255	10	10.0
1256	10	10.0
1257	10	10.0
1258	9	9.0
1259	8	8.0
1260	8	8.0
1261	8	8.0
1262	9	9.0
1263	9	9.0
1264	10	10.0
1265	9	9.0
1266	10	10.0
1267	10	10.0
1268	9	9.0
1269	9	9.0
1270	9	9.0
1271	9	9.0
1272	10	10.0
1273	8	8.0
1274	10	10.0
1275	8	8.0
1276	9	9.0
1277	9	9.0
1278	9	9.0
1279	8	8.0
1280	10	10.0
1281	9	9.0
1282	9	9.0
1283	11	11.0
1284	8	8.0
1285	9	9.0
1286	9	9.0
1287	9	9.0
1288	8	8.0
1289	8	8.0
1290	10	10.0
1291	8	8.0
1292	9	9.0
1293	10	10.0
1294	11	11.0
1295	8	8.0
1296	10	10.0
1297	9	9.0
1298	10	10.0
1299	9	9.0
1300	11	11.0
1301	12	12.0
1302	10	10.0
1303	9	9.0
1304	9	9.0
1305	9	9.0
1306	10	10.0
1307	9	9.0
1308	9	9.0
1309	10	10.0
1310	9	9.0
1311	9	9.0
1312	10	10.0
1313	9	9.0
1314	10	10.0
1315	9	9.0
1316	9	9.0
1317	8	8.0
1318	10	10.0
1319	9	9.0
1320	9	9.0
1321	9	9.0
1322	10	10.0
1323	10	10.0
1324	8	8.0
1325	10	10.0
1326	9	9.0
1327	9	9.0
1328	9	9.0
1329	9	9.0
1330	9	9.0
1331	11	11.0
1332	9	9.0
1333	9	9.0
1334	10	10.0
1335	10	10.0
1336	9	9.0
1337	10	10.0
1338	10	10.0
1339	9	9.0
1340	10	10.0
1341	8	8.0
1342	9	9.0
1343	8	8.0
1344	10	10.0
1345	9	9.0
1346	8	8.0
1347	9	9.0
1348	8	8.0
1349	9	9.0
1350	10	10.0
1351	9	9.0
1352	9	9.0
1353	8	8.0
1354	9	9.0
1355	10	10.0
1356	10	10.0
1357	10	10.0
1358	10	10.0
1359	10	10.0
1360	9	9.0
1361	9	9.0
1362	10	10.0
1363	11	11.0
1364	10	10.0
1365	10	10.0
1366	10	10.0
1367	10	10.0
1368	9	9.0
1369	10	10.0
1370	11	11.0
1371	10	10.0
1372	10	10.0
1373	9	9.0
1374	9	9.0
1375	10	10.0
1376	10	10.0
1377	10	10.0
1378	9	9.0
1379	10	10.0
1380	10	10.0
1381	9	9.0
1382	9	9.0
1383	10	10.0
1384	9	9.0
1385	10	10.0
1386	10	10.0
1387	8	8.0
